	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
GUANADREL	0.085635258149	-0.358055687338	-1.47307852252	-0.123753955779	-0.190837470295	-1.00639857707	-0.0151436456054	-0.323804222388	0.445406629749
SN-6	0.502400229721	0.106838743462	-0.154584517493	-0.244578541645	-0.0659103976502	-0.16140559859	0.0185982654816	-0.191978098869	1.17869666882
IDRA-21	-2.30369664218	-1.58873059074	-1.76387895655	-0.695863160495	-2.02036361287	-2.09552769179	-2.62855492183	-2.72027029167	-1.80167435761
MESORIDAZINE	-0.392194810581	-0.52622396731	-0.826497409522	0.200690964571	-0.366361658412	-0.102975221699	0.0763889096828	-0.759610082337	0.349829271326
UB-165	0.179628850057		-0.120968755119	0.20116993185	-0.190728135087	0.424890801214	0.29147874024	0.0723931436464	0.233833836886
NORGESTREL	-0.382772156957	-0.228403707647	0.455266906827		-0.664597666248	-0.983233476089	0.0264658104999	-0.993831241923	-0.726381944375
DOFEQUIDAR	0.129617583416	0.112030286905	-0.264205063103	-0.561383535761	0.331727370244	0.219610368446	-0.507042921005	0.305033482391	0.149027017229
ALAPROCLATE	0.240500218775	-0.252551638459	-0.322032429062	0.366461721388	0.114714187211	-0.505670181299	-0.00783433651829	0.548168170378	-0.364703525607
DIADENOSINE-TETRAPHOSPHATE	0.231483104697	0.622637894724	0.949511555696	0.304643970483	0.00526360888901	0.116306265603	0.202401987503	0.106928377113	-0.267960694543
MILNACIPRAN	-0.00962197401513	-0.180872200737	-1.27060635348	-0.307678949737	0.283687687971	0.70591140193	0.0832568459573	-0.464014622503	0.685946163472
FLUOCINOLONE-ACETONIDE	0.0772219618311	0.0969942859851	0.0524681017822	0.043505399742	-0.323281657	-0.704586620934	-0.054470507553	-0.749289644937	0.622218452534
L-CYSTINE	0.534025279001		-1.1972065227	0.832226627002	0.0939420264355	-0.12513439761	0.18438382589		0.219168361454
GW-1929	-0.256396728994	-0.510342209181	-0.0148905993058	-0.00780303067179	-0.42000030252	0.547168059723	0.73572676037	-0.0359208309015	0.466785295048
BMY-14802	0.197786276762	-0.462681398716	-0.480736263834		-0.0930191387955	-0.483406752011	-0.12130316416	0.127461583471	0.0114866540074
SDZ-21009	-0.279437815331	-0.0267369809875	0.310002303458	-0.278401704391	-0.053507915596	0.343311661346	0.34297033562	-0.118309260484	-0.0473905651035
REBAMIPIDE	-0.039531906543	0.025952668843	0.369810896277	0.600437052591	-0.178481722018	-0.333151529938	0.183307639108	-0.0517495140834	-0.1347180992
BUCLADESINE	0.334366073076	-0.142626339292	-0.148402789058	0.422488246388	-0.0600141261726	0.211758067783	0.272938039974	-0.483521130794	-0.0930386518791
INDOBUFEN	-0.0899317744664		-1.12310039156	-0.91578440509	0.186973562132	0.621120606092	-0.207460304675	0.207847109785	0.403072051848
THIOCTIC-ACID	0.149751863304	0.432486111448	0.56946234191	0.738948936285	0.291418304135	-0.202257560217	0.457668585313	0.576259965378	-0.0792856497577
DORAMECTIN	0.503961602578	0.187126137785	0.399449299681	0.836529209356	-0.114045362491	0.409610233213	0.168661268305	-0.282300368276	0.130283029499
QUINESTROL	0.196062842639	0.0813699185588	-1.55225479261	-0.801432501126	0.0214392784685	-0.0888599979657	-0.767987365623	-0.411616100064	0.124511094981
BUTOCONAZOLE	0.298187902465	0.339125796696	0.562631428451	-0.124634015618	0.278158802931	0.0949929485563	-0.0225676599925	0.531349075535	0.0473841592634
BADGE	0.0126900396322	-0.427871386593	0.0907034646609	0.10211004625	0.20317245281	0.433917792045	0.0917651236212	0.0811425894826	0.0934938530716
ISOXSUPRINE	-0.298158024725	-0.651908382523	0.869096251862	0.811696014879	-1.07533120715	-1.1411582022	-0.443686478463	-1.266599558	-1.41979295638
PROTIRELIN	0.140120764114		-0.107407018562	1.87829584781	0.325093716073	0.134916426161	-0.314500409282	0.198559489796	-0.0115857470888
DEHYDROACETIC-ACID	0.0688746658733	-0.291970809107	0.461787210553	0.22303283177	-0.09159550602	0.39948366501	0.150947871313	0.217559220266	-0.172786901534
ALCLOMETASONE-DIPROPIONATE	1.24195828443	0.574853653256	0.51453601588	0.111873360442	0.212539667229	-0.381543115184	0.262229473776	-0.166711066856	0.774079436736
CARPROFEN	0.020651039262	0.120566648078	-0.257645813408	0.0373647116588	-0.0375410510709	-0.27960840158	0.32062610519	-0.0829774084657	0.0714735185858
BW-723C86	0.33714976	-0.502343042616	-0.561687877238	0.59188773126	-0.0447661191046	0.305918631546	0.0510261413629	-0.290818387744	0.245068267092
MDL-72832	-0.196613953426	-0.110398197347	0.416320510257	-0.00181051954341	-0.0824360163147	0.142781711565	-0.414340864446	-0.673333855171	-0.734734028869
BAMBUTEROL	-0.822200707129	-0.128027614676	-0.239702391758	0.897597200007	-0.784215775428	-0.64231917479	-0.102513047679	-0.13711634461	0.134469449722
IBUPROFEN	-0.616700176076	0.251432170468	0.0680445405942	0.785454357089	-0.536270714119	0.371722637977	-0.302378322394	-0.382336720359	-0.0255487166529
TROLOX	-1.66269219943	-0.216696069	-1.09066416935	-2.13168841223	-1.59717578063	-1.30246640718	-0.930769746672	-1.72861456902	-0.543435547873
LENALIDOMIDE	0.374460335777	0.260151331571	0.596463674405	0.152486934897	0.0896860178539	0.0617227832814	0.0237272186988	-0.156049962933	0.413292323194
PHENSUXIMIDE	0.234619908431	-0.406003481116	0.0879598895558	0.299014144803	0.0788777648585	0.114863032261	0.322766483083	-0.287871569375	0.267372049821
