	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
REXO5	3.84	8.25	3.42	14.569999999999997	7.440000000000001	6.4	12.69	9.95	8.68	7.709999999999999
CIAPIN1	54.11999999999998	62.56	49.12	54.22000000000001	58.650000000000006	52.22999999999999	54.27999999999999	55.7	50.97999999999999	37.309999999999995
SPPL2B	20.209999999999997	24.42	34.03999999999999	42.07	26.94	17.03	29.039999999999996	40.0	41.53	31.859999999999992
FAM214B	10.939999999999998	9.46	5.1000000000000005	14.230000000000004	17.48	6.669999999999999	11.949999999999998	5.250000000000001	13.31	5.809999999999999
COPZ2	0.1400000000000001	0.27	0.1200000000000001	90.5	28.179999999999993	8.31	4.63	12.849999999999998	56.59000000000002	9.480000000000002
PRKAR2B	6.69	22.790000000000003	0.03	0.32	6.37	1.0599999999999996	0.07	3.109999999999999	3.870000000000001	6.23
MSL3	15.41	23.210000000000004	11.23	20.460000000000004	11.85	27.140000000000008	11.03	20.079999999999995	30.26000000000001	24.42
CREBBP	10.63	14.560000000000008	19.18	14.140000000000002	15.700000000000005	23.39000000000002	25.710000000000004	14.78	15.749999999999996	20.800000000000004
TSPOAP1	0.06	1.7800000000000002	0.3400000000000001	1.0700000000000005	0.08	0.3	0.09	2.1399999999999997	3.6099999999999985	0.02
MPO	0.01	0.51	0.52	0.49	0.0	1.23	0.02	0.3599999999999999	0.4599999999999999	0.0
PON1	0.06	0.07	0.0	0.1	0.0	0.0	0.02	0.05	0.06	0.06
GCFC2	17.989999999999995	15.740000000000006	9.320000000000002	6.28	8.84	17.910000000000007	17.490000000000002	7.16	9.98	16.44
WDR54	39.2	16.210000000000004	11.709999999999994	36.499999999999986	41.09	25.95	22.249999999999993	28.60000000000002	32.88	39.989999999999995
CROT	14.55	6.460000000000001	5.360000000000001	18.96	6.33	8.900000000000006	7.34	13.02	8.59	8.66
