	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
DZIP1L	2.0800000000000005	3.2200000000000006	3.33	0.3599999999999999	0.95	25.06000000000001	8.31	24.260000000000005	4.32
TMSB15A	0.1999999999999999	26.169999999999995	0.1899999999999999	0.0	0.0	1.56	8.67	1.44	32.330000000000005
FANCC	6.34	9.13	7.050000000000001	15.09	13.79	12.800000000000002	7.0	9.420000000000003	5.360000000000001
MRAS	0.24	24.949999999999992	0.4399999999999999	3.289999999999999	0.81	11.04	19.04	13.860000000000005	20.570000000000007
WASF2	27.62999999999999	22.84	69.29000000000002	24.83	36.57999999999999	43.51	24.070000000000004	30.25	23.85000000000001
ABHD3	17.430000000000003	7.120000000000003	15.41	15.189999999999994	17.730000000000004	34.31000000000002	13.34	8.169999999999996	5.210000000000001
ESYT3	0.24	2.8200000000000003	0.26	1.65	1.8499999999999996	10.089999999999998	2.6	1.88	2.85
FAIM	7.539999999999999	23.870000000000005	16.840000000000003	38.69	33.260000000000005	29.090000000000003	36.60999999999999	9.499999999999996	12.059999999999992
TENT5B	2.38	3.62	0.08	1.3600000000000003	2.11	7.16	1.1799999999999995	1.2999999999999998	6.790000000000001
CLSTN2	0.01	2.6	0.01	0.05	0.02	6.19	0.0	0.81	3.109999999999999
COLEC12	0.01	0.1899999999999999	0.01	0.01	0.02	0.48	0.01	0.03	0.76
RNF207	38.610000000000014	10.52	14.18	26.03000000000001	13.360000000000012	37.32000000000002	15.949999999999996	22.069999999999993	6.010000000000001
CUL4B	13.46	22.58	15.35	18.359999999999992	49.71999999999999	38.029999999999994	22.86999999999999	52.459999999999994	14.680000000000003
GPR153	2.34	3.2300000000000013	10.44	2.38	3.0299999999999994	0.4599999999999999	1.23	1.46	2.63
SLC13A3	0.05	0.05	0.04	0.1299999999999999	4.430000000000001	0.1499999999999999	3.74	0.3999999999999999	0.1200000000000001
GPRASP2	2.3899999999999997	4.819999999999999	0.6699999999999999	0.6099999999999999	1.4799999999999995	1.56	7.870000000000006	2.580000000000001	3.140000000000001
RHBDL2	12.409999999999997	2.3300000000000005	22.46	17.330000000000002	24.38000000000001	3.289999999999999	1.12	0.29	2.63
AUTS2	0.08	39.02	5.220000000000001	23.820000000000007	0.08	2.24	0.1599999999999999	1.12	30.19
SHROOM4	0.0	0.4099999999999999	1.6100000000000008	0.25	0.1899999999999999	1.8200000000000005	0.02	3.879999999999998	0.05
H2BC5	33.81	37.35999999999999	3.999999999999999	7.949999999999997	36.05999999999999	4.33	22.15	113.01	12.93
CDC25C	11.41	8.169999999999996	13.81	10.36	13.66	15.469999999999995	16.039999999999996	8.999999999999998	7.999999999999998
H4C8	5.0600000000000005	36.330000000000005	1.71	3.140000000000001	7.800000000000001	1.3200000000000005	11.859999999999998	40.67999999999999	8.3
MITD1	36.690000000000005	26.370000000000015	24.69000000000001	38.62	31.81	31.40000000000001	30.48	39.900000000000006	20.659999999999997
EIF5B	33.55	49.42	42.94	83.08000000000003	54.05	42.87	56.11000000000001	41.400000000000006	33.53
