gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
PI4KA	12.31	14.29	5.26	7.06	5.26	5.33	5.97	0.0	19.05
PPP4R1	100.0	96.47	98.5	97.06	98.05	97.62	100.0	100.0	94.74
YEATS4	87.78	79.13	89.77	89.24	86.32	88.43	87.76	92.86	89.78
TMEM50B	3.06	5.04	1.47	0.68	3.75	4.43	12.4	3.09	5.62
RELT	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0
GLG1	98.43	100.0	96.95	98.81	95.28	98.23	96.9	98.11	97.53
PSMD13	93.22	94.71	98.23	97.84	95.52	96.81	93.83	95.95	96.63
PHF12	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RBM27	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SMAD4	10.0	3.7	3.57		0.0	2.38	1.69	0.0	2.5
TGIF1	76.0	46.43	46.51	53.68	46.67	71.15	68.75	91.94	73.68
GBA2	100.0	94.44	92.11	100.0	100.0	91.67	92.54	100.0	96.05
TRMT6	5.0	0.0	3.57	1.37	2.27	4.47	1.29	0.0	2.5
NIPSNAP3A	1.03	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0
RNF146	6.25	4.26	0.0	2.13	5.48	4.69	2.27	6.9	6.29
SF3A1	100.0	100.0	98.77	99.06	97.55	100.0	98.71	100.0	98.83
PPP1R12C	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
AREL1	4.0	0.0	0.0	2.83	4.67	9.26	4.0	0.0	3.03
AGAP3	94.74	97.67	94.93	95.65	96.67	96.55	95.51	97.06	95.45
UIMC1	9.04	6.58	10.62	4.08	4.8	7.89	5.29	3.74	5.43
GOLGA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRSF11	6.09	5.77	7.14	5.59	3.95	10.0	4.55	12.5	4.42
MDN1	100.0	100.0	100.0	100.0	100.0	100.0	100.0		100.0
GNB1	92.41	96.45	95.74	92.7	93.74	95.55	91.92	92.29	94.87
PSRC1	40.62	53.12	45.71	39.51	41.38	34.78	35.39	27.27	40.26
MORN1	8.0	8.7	16.0	4.35	5.0	0.0	5.56		5.45
ALAS1	94.59	100.0	87.23	100.0	96.23	100.0	83.52	100.0	89.36
CRYBG3	94.59	100.0	87.23	100.0	96.23	100.0	83.52	100.0	89.36
