	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
ISOXSUPRINE	0.200356263166	-1.64982462313	-1.04634005612	0.217925574087	-1.91911440023	0.502545343794	-1.40625743238
PROTIRELIN	0.2742826464	0.363261780398	-0.575969273996	0.535048369997	0.293717017707	0.214432320826	0.31634578851
DEHYDROACETIC-ACID	-0.248127609836	0.144454696091	-0.74456740254	-0.0331314139925	-0.728215930358	-0.156642600139	0.685363721069
ALCLOMETASONE-DIPROPIONATE	1.06862797225	-0.554624721586	0.117832318466	1.09611171833	0.857862566664	0.356113355494	0.040376562007
CARPROFEN	-0.425037372426	-0.0319424082189	0.172524588679	-0.769721856507	-0.654396406851	0.146115915034	0.191762539534
BW-723C86	0.649180981037	0.522932710193	0.0661869534253	0.609261206273	-0.0442777329841	0.0185340587158	0.056692104316
MDL-72832	0.27219308907	0.0522732103116	-0.0807694777067	-0.104091340492	-0.181241560396	-0.301029076584	0.40013068835
BAMBUTEROL	-0.739563637963	0.170510415149	-0.185634739831	-0.50956492906	-0.125645118821	-0.59055043971	0.388202663052
IBUPROFEN	0.464195055458	0.391803705035	-0.133304725461	-0.54796856463	0.0378881608598	0.205423178933	0.686788912157
TROLOX	-0.791644628133	-1.58875063133	-1.21739564688	-0.814428629539	-1.62189464432	-0.69424633627	-1.20589173595
LENALIDOMIDE	0.371321591482	-0.055099769058	0.333435865621	-0.408977462338	-0.344344982439	0.677283834236	-0.00986553654682
PHENSUXIMIDE	-0.269065118918	0.443540216998	-0.110156486542	-0.427906581272	0.0702673882636	0.0942756949448	0.167088515495
METHACHOLINE	0.268323675226	-0.187620077656	0.0466716043709	0.591529922753	0.273247967376	0.161388507498	-0.168749779518
AGN-192403	0.424387519955	0.260620158846	-0.0202914249401	0.774364779497	0.304486433488	0.619935789453	0.65244418938
BEVANTOLOL	0.0488709150789	0.710812232174	0.0570176521395	-0.478791407339	-0.128906790923	0.046191276397	0.159653216669
MALIC-ACID	0.0357652894081	-0.844720773406	0.0551838729176	-0.484602188248	-0.0445197447986	0.307176376566	-0.171249563212
TAZOBACTAM	0.471701168708	0.131451850108	0.0167434315289	0.247036701953	0.243106257854	0.0833184341514	-0.0631651877157
CYANOCOBALAMIN	0.728749024512	0.133557813275	0.0785754607059	-0.611568750732	-0.338860858932	-0.65438522552	0.706968912763
IDAZOXAN	0.591030139105	-0.249595269372	-0.202584438756	0.2066003568	0.417160773934	-0.0206362289217	-0.650101427912
BAX-CHANNEL-BLOCKER	0.173435058146	0.318373835474	0.178595953581	0.636211186515	0.438202871895	0.425690288839	-0.912119031104
7-HYDROXY-DPAT	0.381844935387	0.146477727268	-0.285015663551	0.276038580684	0.332290236129	-0.0507289539298	-1.33250110093
NALTRIBEN	-0.021782887621	0.355250061166	0.179665761601	0.518354236759	0.206993276189	-0.0484991190304	-0.290454621995
TRIMIPRAMINE	0.341156060385	-0.00288326629249	-0.663626874739	0.181907002286	-0.166626753788	-0.833130700036	-1.26931975317
METHYLPHENIDATE	0.221827509901	-1.22615098491	-0.535760951768	-0.871180488035	-0.761122315321	-0.847688507192	-0.998289016606
PERHEXILINE	0.105421673035	0.156280547361	-0.101597133	-0.728643009723	-0.082009318104	-0.621541596396	-0.316509519836
MIANSERIN	-0.634559720425	0.794192678728	0.410655728303	0.198211326785	0.302841977664	-0.0330935895766	0.22620737807
ONDANSETRON	0.0378725660435	0.112745467451	0.00182573709355	-0.48497720089	-0.64412889164	-0.0971775094653	-0.296070913805
ATOVAQUONE	0.516084599245	0.276898644021	0.316530780398	-0.38755190709	0.140267346002	0.57734183949	0.345417393811
CLOSANTEL	0.339807038041	0.425763664733	0.374946752267	0.0654433887349	0.160744983092	0.177631626893	-0.829610930965
TUAMINOHEPTANE	0.374241335153	0.518252971181	0.194570200283	0.642062027685	-0.0485453459462	-0.539896213858	0.189553212884
MECAMYLAMINE	0.304794194476	-0.0207083458153	0.223557316602	-0.0699852439839	-0.0170838243402	0.849967934341	0.277983037123
ATENOLOL-(+/-)	0.0564660705614	0.139628578259	-0.0788857244111	0.70561495864	-0.171409280563	0.567874826794	-0.774106249072
CHLORMEZANONE	0.378496860524	-0.494365855207	-0.102071247603	0.53166105694	-0.312721245408	0.436303108106	-0.0778793105463
HALOTHANE	0.0231739145813	0.118151413857	-0.439805592966	-0.458682571513	-0.0976588851801	-0.288943852599	-0.128830940107
CANRENONE	0.149181322737	-0.288888561017	0.0735077937156	-0.265077378065	0.0958417133464	-0.926911651602	-0.194609773849
PRASTERONE-ACETATE	-0.465083487864	-1.05732203797	-0.549415656947	-0.322430926985	-0.307480202569	-0.453783857744	-0.359034999661
PLOVAMER-ACETATE	-0.23759531625	0.55845118386	-0.516903809599	-0.141222510178	0.314097128758	0.744691034096	-0.978796478682
CEFMENOXIME	-0.451083682343	-0.598924971923	-0.265179475293	0.0779708604083	-0.126179761687	-1.12337756991	-0.00988070397029
2,6-DIMETHYLPIPERIDINE	-0.876282023022	0.0345339455226	-0.293689383791	-0.791822343992	-0.464340641422	0.438773964595	-0.0634077544397
MEDETOMIDINE	1.29339439852	0.0819342154662	0.0990821714461	0.825233749314	0.726644101163	-0.621206747262	0.696327602041
PRAZIQUANTEL	-0.161336406084	0.331442342681	0.0839523850919	-0.884457782478	0.336072048616	0.0254598978079	-0.279381117869
AMLODIPINE	-0.183976033949	0.741719741828	0.137036674167	-0.589202104309	-0.205663033932	-0.132060220998	-1.02874477478
SULMAZOLE	-0.329941928813	-1.51102221317	-0.30577148089	-0.255278857646		0.421776461334	0.300279968506
PHENOTHRIN	1.09437305709	0.421274114036	0.06564313023	0.295652249128	-0.0542519628113	0.205555017421	-0.138520857894
ESTROPIPATE	-0.132242782028	-0.339544468456	-0.231712753577	0.737098969122	0.1623717244	0.305442696925	0.5868007827
TRIDIHEXETHYL	0.452555602559	-0.370242384514	-0.248348509429	-0.34477580975	-0.42609091747	-0.10027992726	0.887529368921
TERAZOSIN	0.0728054279298	-0.217308571826	0.06430959591	0.153163807771	-0.212685788349	0.00500433338797	-0.00412991097126
DROFENINE	0.221891367773	0.31599316438	0.522216259947	0.52544532711	0.213541553454	0.658542014186	-0.134547080102
