	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
DOXYCYCLINE	-0.33365702373	-0.394845880185	-0.175158014445	-0.367823720492	-0.0122289561015		-0.330078968333	0.164260807447	0.291607333791	-0.351368770262
DOXYCYCLINE		-2.24745939712	-3.48979736872	0.876200140264	-0.830335812844		-0.493529019442	-1.63571242344	-0.0681467361814	
IODIXANOL	-0.651997066092	-0.277933633625		-0.0354617840319	-0.203764719119		-0.76423643724	-0.336420423407	0.0691880257465	-0.731863400467
L-THEANINE	-0.148935950253	-0.851187054534	-0.279512859269	-0.465785008702	-0.234602849377	-0.628417549778	-0.459889967267	-0.0903528543075	-0.0999956761833	-0.103701067958
CID-5458317	-0.423232014977	-3.5572817469	-3.70966565475	-1.45225036517	-0.438522321949	-1.0539847589	-2.4762307486	-0.981911357767	-1.45635410969	-2.65939416799
ALFUZOSIN	0.226535655528	-0.106941973275	0.0464042873043	0.297782187128	0.17990729093	-0.325498011421	0.0523104067776		0.0274739547211	0.324241017752
AMYLEINE	0.0834339742734	0.212945567506	-0.0360025781853	0.468867619811	0.523594867178	-0.146890905921	-0.288634799567	0.0143030889014	0.302154674561	0.0882250441096
STRYCHNINE	-0.29394547203	-0.437406987225	-0.24590741908	-0.742224788383	-0.521136734409	-0.819687189373	-0.0872608313167	-0.0449816121196	-1.18103181683	-0.860656539947
NORETHINDRONE-ACETATE	-0.564176910067	-0.380182545873	-1.49597236961	-1.22672212955	0.0365436194009		0.198250218918	-0.591746766307	-0.644271987299	-0.610695263462
IOXILAN	-0.231182182244	-0.622910231922	-0.502329935555	-0.603228119422	-0.37887053203		-0.507771199127	-0.610156945646	-0.154571283537	-0.385972295429
MEBEVERINE	-0.146862416657	-0.409246783066	-0.158507846537	-0.057470798994	-0.276106527967		0.0734744848771	0.163020022635	0.486063287293	-0.33131487004
FLECAINIDE	0.295460519044	-0.00994398692187	0.313561945307	0.0501474206748	-0.516697041986		-0.038566569166	-0.111456349774	0.100281057355	-0.131078432147
VERAPAMIL	0.306725424918	0.517613878564	0.316033184022	-0.214873666306	0.0171919181658		0.200666526323	-0.0846121899915	0.432536048486	0.23689903945
8-BROMO-CAMP	0.0793765900629	0.176163717842	0.201809557834	0.58660548891	-0.483131643317	-0.222877524818	0.0816943398079	0.0611961105226	0.617775502306	0.07075020228
CYCLOPHOSPHAMIDE	0.690624183541	0.273161205631	-0.326140209816	-0.163618485036	0.0655001433227	0.231358728416	0.126170435208	0.15507051798	0.903142949469	0.378352581142
BOCEPREVIR	-0.561305350112	0.168866152359	-0.11401066371	0.0329039336872	-0.384294623538	-0.260284899069	0.697020934712	0.294424294193	-0.298155218407	-0.439302574515
SKF-81297	0.00610413053798	0.53409482607	0.125244615594	0.00795900041635	0.47381956847	0.0634793140305	-0.756333923113	-0.323005314998	-0.954756433122	-0.00876996046632
ETILEFRINE	-0.0306355825651	0.0619413240597	0.462678449422	-0.497819894564	-0.161437709223	-0.354602708647	0.135767494068	-0.226939052767	-0.733190375349	-0.00366083937806
TIPRANAVIR	0.655830576239	-0.421341093313	0.000828323584149	-0.251942892923	-0.569931158375		-0.0965739040381	-0.456576282441	0.0519957701075	-0.262838908573
PROPRANOLOL	-0.127297661822	0.422201757655	0.355956659869	-0.0542211258142	0.0980224431092		0.0336944022392	0.0513983515011	0.242588635255	-0.0309511308973
ADENOSINE-PHOSPHATE	0.16204410656	0.00205264737033	-0.430366100992	-0.269165155605	-0.620484558718	0.0455953714559	-0.364227615313	-0.248005421613	0.399868866485	0.0401912234374
CYCLOPIAZONIC-ACID	-0.13631310703	-0.0818543021366	0.529248891463	0.445753724791	0.32931728727	0.379041185909	0.358864933845	0.0189644158545	0.0339646142159	0.437526071029
GSK429286A	-0.0254881087066	-0.148943170601	-0.360131577928	-0.779804123721	0.518074966958	-0.543273944376	0.145499528355	0.108186688137	-1.14738929164	-0.670251619973
