	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
PCSK4	8.539999999999997	3.3400000000000007	0.06	2.06	0.75	1.56	1.0300000000000002
GCG	0.29	4265.800000000002	0.1699999999999999	0.1499999999999999	0.1699999999999999	0.03	0.2099999999999999
APC2	1.73	5.339999999999999	0.09	0.52	0.1200000000000001	0.1699999999999999	1.87
IFIH1	5.220000000000001	207.28	7.109999999999999	1.0099999999999998	2.620000000000001	2.6100000000000003	9.35
RPS15	1480.3000000000006	2005.2000000000016	1537.2000000000005	1219.1000000000004	1170.3999999999994	1429.8000000000002	1930.8000000000004
GCA	1.0599999999999996	50.320000000000014	26.229999999999997	11.93	2.1699999999999995	30.38	11.970000000000002
INO80B	13.050000000000002	20.239999999999995	4.870000000000003	13.79	17.420000000000005	27.949999999999996	36.06999999999999
MOGS	33.04	51.88000000000001	8.27	29.000000000000004	24.19	38.169999999999995	51.809999999999995
TTC31	17.24	30.75999999999999	6.530000000000004	17.169999999999998	15.810000000000006	26.769999999999996	22.590000000000003
NDUFS7	79.34	110.46999999999996	50.959999999999994	93.56000000000004	74.42000000000002	78.90000000000003	141.90999999999997
PCGF1	26.680000000000007	50.350000000000016	19.31	33.410000000000004	25.22	28.09999999999999	32.28
GRB14	3.1499999999999995	10.03	9.75	0.1299999999999999	1.4699999999999998	3.1499999999999995	0.09
CLIP4	57.91	8.07	23.68	14.04	25.01000000000001	5.419999999999999	0.3599999999999999
TLX2	0.2099999999999999	0.53	0.01	0.0	0.1100000000000001	0.25	0.01
SPTBN1	25.320000000000004	33.67999999999999	61.98999999999999	70.43	63.75	149.84000000000003	51.76000000000001
AUP1	86.31	170.42000000000004	63.87999999999998	141.77999999999997	121.82000000000002	156.37999999999997	250.68
RTN4	268.19000000000017	129.84000000000003	299.8399999999998	353.04000000000013	257.56000000000006	120.39	389.05999999999983
HTRA2	27.26	24.679999999999996	20.749999999999993	35.50000000000001	29.999999999999993	22.31	36.66
LOXL3	2.92	10.849999999999998	1.4699999999999998	1.9	0.5699999999999998	1.5199999999999996	1.4799999999999995
DOK1	6.500000000000001	17.109999999999996	4.010000000000002	12.69	12.720000000000004	5.049999999999999	15.680000000000003
GALNT3	0.72	45.620000000000005	42.720000000000006	0.1400000000000001	2.24	30.879999999999995	0.4299999999999999
POLE4	73.74000000000002	49.63000000000002	217.08000000000004	46.08000000000003	54.02999999999999	42.63999999999999	64.08999999999999
TACR1	0.6099999999999999	0.1400000000000001	0.0	0.01	0.07	0.01	0.01
CCDC88A	34.0	37.89999999999999	11.170000000000002	27.480000000000004	26.96000000000001	0.31	20.33
ACADL	0.0	0.01	0.0	0.0	0.0	0.0	0.01
EVA1A	22.15	0.07	8.93	77.12999999999998	71.91	0.1400000000000001	0.26
MRPL19	24.09999999999999	65.24000000000001	35.49000000000001	36.68000000000001	40.029999999999994	40.14	65.74
LANCL1	25.56	43.419999999999995	15.35	22.630000000000003	31.269999999999996	30.729999999999993	23.999999999999993
WDR75	65.04999999999998	124.18	20.18000000000001	47.63000000000001	52.17000000000001	37.05	92.57
EFEMP1	9.67	0.28	61.459999999999994	28.730000000000015	50.12000000000001	0.1799999999999999	2.580000000000001
REG1A	0.0	0.0	0.0	0.0	0.0	0.04	0.0
FANCL	30.10000000000001	47.0	36.53000000000003	16.770000000000003	14.239999999999998	23.790000000000006	33.17000000000001
FN1	1471.9000000000003	33.38	86.20000000000002	6906.699999999997	420.3099999999998	6.23	17.500000000000004
STAT1	132.30999999999997	49.84	55.459999999999994	36.29000000000001	41.04000000000001	20.73	99.49
GLS	131.44	43.150000000000006	21.910000000000004	72.95	84.92000000000002	41.84000000000004	113.44999999999996
PAPOLG	6.69	6.250000000000001	3.890000000000001	5.470000000000001	3.6599999999999993	3.33	4.77
DNAH6	0.01	0.47	0.1100000000000001	0.1799999999999999	0.2099999999999999	0.26	1.0099999999999998
PECR	5.350000000000003	22.45	5.119999999999999	8.11	6.28	8.7	11.45
UNC50	39.75999999999999	32.49999999999999	44.56000000000002	42.420000000000016	40.26	28.25999999999999	32.239999999999995
IGFBP2	21.230000000000004	167.39	0.07	0.75	1.25	0.3599999999999999	0.3
ELMOD3	19.35	12.699999999999998	1.2400000000000002	20.73	9.900000000000002	10.0	10.849999999999998
IGFBP5	65.44000000000004	0.29	0.8300000000000001	0.31	0.1699999999999999	0.1799999999999999	0.25
USP34	33.09000000000001	56.55000000000001	35.39000000000001	48.96000000000001	28.69	29.229999999999993	39.95000000000002
EFHD1	17.449999999999996	26.980000000000004	0.01	0.05	0.04	0.07	0.05
KCNJ13	0.09	0.07	0.02	0.05	0.1200000000000001	0.1400000000000001	0.03
CCT4	192.88999999999987	268.69000000000005	295.5600000000001	168.63999999999984	158.22000000000003	116.92	245.91000000000005
GGCX	29.13000000000001	33.04999999999999	28.30999999999999	22.62	30.120000000000022	22.520000000000007	36.55
NEU2	0.0	0.0	0.0	0.09	0.0	0.0	0.0
EHBP1	68.95000000000002	24.459999999999994	11.639999999999992	51.099999999999994	24.289999999999996	36.52000000000001	22.75
OTX1	2.46	3.499999999999999	0.81	1.4699999999999998	1.2000000000000002	3.4399999999999986	1.58
TXNDC9	48.19999999999999	39.07	89.82999999999998	57.33999999999999	52.25	29.32	55.69
COQ10B	17.879999999999995	11.38	16.169999999999998	22.160000000000007	10.8	8.39	19.699999999999996
GNLY	0.1	0.0	0.0	0.0	0.0	0.0	0.0
SF3B1	83.32999999999998	156.06999999999996	152.69	86.24999999999999	80.43999999999997	130.78999999999996	98.57
ST3GAL5	1.6799999999999995	5.59	1.12	3.08	0.99	0.06	0.2199999999999999
CHST10	13.200000000000005	26.999999999999993	1.3800000000000003	12.530000000000005	3.6099999999999985	0.02	14.490000000000002
PDCL3	56.29000000000001	61.03000000000002	29.820000000000004	44.73	50.78999999999999	35.589999999999996	50.28
MOB4	28.859999999999992	32.14999999999999	72.71	35.4	28.579999999999995	26.620000000000008	55.17
HSPE1	507.64999999999986	996.4	884.2699999999998	396.9099999999999	611.2799999999996	900.35	1013.199999999999
KDM3A	43.07999999999999	27.549999999999994	13.82	15.65	28.159999999999993	11.78	19.19
PLCD4	1.04	0.4199999999999999	0.28	2.4399999999999995	0.1599999999999999	0.1799999999999999	166.21999999999994
CHMP3	115.36	78.06999999999998	56.80999999999999	87.62999999999997	93.34	106.90000000000006	62.61999999999999
ZNF142	6.219999999999999	11.530000000000005	1.1399999999999997	8.059999999999999	9.440000000000005	8.02	8.57
IL1R2	0.1899999999999999	0.0	12.58999999999999	0.1999999999999999	0.3700000000000001	20.99000000000001	0.04
PRKAG3	0.07	0.0	0.0	0.0	0.0	0.02	0.03
SMYD1	0.05	0.0	0.0	0.0	0.0	0.07	0.01
IL1R1	26.700000000000006	0.09	0.74	24.340000000000003	13.730000000000004	0.03	0.1
WNT6	0.1400000000000001	0.06	0.0	0.02	0.0	0.5899999999999999	0.0
IL1RL2	0.1	0.0	0.3999999999999999	0.01	0.6499999999999999	0.1999999999999999	0.0
IL1RL1	0.79	0.0	0.33	1.99	0.01	0.0	0.28
IL18R1	0.91	0.06	0.1999999999999999	6.2	1.5	0.08	0.0
IL18RAP	0.03	0.0	0.0	0.1299999999999999	0.03	0.0	0.0
SLC9A2	0.03	0.02	1.4	0.01	0.05	11.47	0.04
FHL2	34.940000000000005	20.76	149.26	124.24999999999996	71.47999999999999	63.69	34.230000000000004
MLPH	0.5	0.27	35.35000000000001	56.360000000000014	81.71	83.70999999999998	0.3
